title,level,language,subtitles,price,n_enrolled
English for Doing Business in Asia – Speaking,Introductory,English,English,60,62798.0
Nutrition and Health: Macronutrients and Overnutrition,Introductory,English,English,99,50540.0
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",Introductory,English,"English, 中文",139,47184.0
Introduction to Clinical Psychology,Introductory,English,English,99,95163.0
Modern Masterpieces of World Literature,Introductory,English,English,99,19905.0
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",Introductory,English,English,49,55937.0
Applied Scrum for Agile Project Management,Advanced,English,English,199,122977.0
Corporate Finance,Intermediate,English,"English, हिन्दी",150,73021.0
Judaism Through Its Scriptures,Introductory,English,English,99,17526.0
Excel avanzado: importación y análisis de datos,Advanced,Español,Español,75,19687.0
CSS Basics,Introductory,English,English,199,91062.0
